,longitudres,latitudres,longtrabajo,latitudtrabajo,Duraciontraslado,sexo,Añonacimiento,Estrato,ecivil,Nveducativo,Afiliadosalud,Mobility,Sex
1,-74.806384,4.306004,-74.804712,4.328769,20,2,1993,3,3,6,2,5,Female
2,-74.806384,4.306004,-74.806384,4.306004,0,1,1987,3,2,2,1,5,Male
3,-74.806384,4.306004,-74.806384,4.306004,0,1,1999,3,5,1,1,4,Male
4,-74.806384,4.306004,-74.803141,4.304596,15,1,1971,3,5,8,1,4,Male
5,-74.806384,4.306004,-74.803141,4.304596,25,2,1991,3,5,2,2,6,Female
6,-74.80728,4.30927,-74.80728,4.30927,0,1,1975,3,2,7,5,4,Male
7,-74.80728,4.30927,-74.79896,4.30125,30,2,1986,3,5,1,1,5,Female
8,-74.80728,4.30927,-74.806595,4.301222,10,2,1958,3,5,3,1,5,Female
9,-74.80728,4.30927,-74.80728,4.30927,0,1,1987,3,5,8,1,5,Male
10,-74.80728,4.30927,-74.223041,4.576335,15,2,1967,3,2,6,1,5,Female
11,-74.808405,4.294614,-74.806384,4.306004,3,2,1955,4,3,8,1,5,Female
12,-74.808405,4.294614,-74.49853,4.66533,25,1,1986,4,2,2,4,4,Male
13,-74.808405,4.294614,-74.808405,4.294614,0,1,1986,4,4,2,1,6,Male
14,-74.808405,4.294614,-74.808405,4.294614,0,1,1987,4,2,2,4,3,Male
15,-74.808405,4.294614,-74.719133,4.238482,15,1,1968,3,4,2,1,3,Male
16,-74.20656,4.592707,-74.20656,4.592707,0,1,1984,3,5,5,4,6,Male
17,-74.20656,4.592707,-74.029278,4.763609,75,1,1988,2,5,8,1,6,Male
18,-74.20656,4.592707,-74.184721,4.609896,40,2,1979,3,5,1,1,5,Female
19,-74.20656,4.592707,-74.20656,4.592707,0,1,1987,2,2,2,5,5,Male
20,-74.20656,4.592707,-74.20656,4.592707,0,2,1955,3,1,6,1,6,Female
21,-74.20656,4.592707,-74.20656,4.592707,180,1,1996,2,5,5,2,6,Male
22,-74.20656,4.592707,-74.203785,4.591768,0,2,1988,3,5,5,1,6,Female
23,-74.20656,4.592707,-74.203785,4.591768,10,1,1977,2,1,5,4,4,Male
24,-74.20656,4.592707,-74.211746,4.582723,0,1,1972,1,2,2,2,5,Male
25,-74.20656,4.592707,-74.20656,4.592707,0,1,1961,3,1,5,5,3,Male
26,-74.203785,4.591768,-74.203785,4.591768,0,1,1967,3,1,2,4,3,Male
27,-74.203785,4.591768,-74.203785,4.591768,0,1,1998,3,5,6,4,6,Male
28,-74.203785,4.591768,-74.156659,4.597186,20,2,1978,3,2,6,1,6,Female
29,-74.203785,4.591768,-74.203785,4.591768,0,1,1956,3,3,3,1,5,Male
30,-74.203785,4.591768,-74.203785,4.591768,3,2,1992,3,2,2,1,5,Female
31,-74.203785,4.591768,-74.06159,4.634584,80,2,1969,3,1,3,1,6,Female
32,-74.203785,4.591768,-74.203992,4.590468,5,2,1994,3,1,7,1,6,Female
33,-74.203785,4.591768,-74.203785,4.591768,0,2,1996,3,5,3,4,3,Female
34,-74.203785,4.591768,-74.203785,4.591768,0,1,1946,3,1,2,1,3,Male
35,-74.203785,4.591768,-74.203785,4.591768,5,1,1957,3,1,3,1,9,Male
